time,from,to,message,translation
, , , , time,from,to,message,translation
2020-08-01 01:53:08,lengmo,Shutd0wn,靶场是个大趋势,The shooting range is a big trend.
2020-08-01 01:54:51,lengmo,Shutd0wn,永信平台喝界面比我们好，我们场景比他们好,"Yongxin platform's interface is better than ours, but our scene is better than theirs."
2020-08-03 09:11:42,lengmo,Shutd0wn,那个二组三组组长调薪的事情，你看咋弄呢··我建议就参照王堰的比例？差不多平衡就行,"Regarding the issue of the salary adjustment for the leaders of the second and third teams, how do you think we should handle it? I suggest we should refer to Wang Yan's ratio. It should be balanced."
2020-08-03 09:15:07,Shutd0wn,lengmo,恩,Grace
2020-08-03 09:15:33,Shutd0wn,lengmo,黄乐好办，略微加些就差不多了。郑嵩差距大了点,"Huang Le is easy to handle, just a little more effort and it will be almost done. Zheng Song is a bit more challenging."
2020-08-03 09:18:16,lengmo,Shutd0wn,那你啥建议，回邮件号了,"What do you suggest then, respond to the email number."
2020-08-03 10:26:45,lengmo,Shutd0wn,,
2020-08-04 09:23:13,Shutd0wn,lengmo,安洵项目-投资意向书-200730.DOCX,Anxun Project - Letter of Intent for Investment - 200730.DOCX
2020-08-04 09:23:29,Shutd0wn,lengmo,你看下,You have a look
2020-08-04 09:23:52,Shutd0wn,lengmo,没问题的话倒数第二页打印签字快递给我,"If it's okay, please print and sign on the penultimate page, and then send it to me by express delivery."
2020-08-04 09:31:22,lengmo,Shutd0wn,好,Good
2020-08-04 09:50:36,Shutd0wn,lengmo,签四份,Sign four copies.
2020-08-04 09:52:28,lengmo,Shutd0wn,嗯,Hmm
2020-08-04 09:58:54,lengmo,Shutd0wn,你将冯圆圆介绍给沈洋了啊,"You introduced Feng Yuanyuan to Shen Yang, didn't you?"
2020-08-04 09:59:06,Shutd0wn,lengmo,嗯,Hmm
2020-08-04 09:59:14,Shutd0wn,lengmo,她很热情主动,She is very enthusiastic and proactive.
2020-08-04 09:59:19,lengmo,Shutd0wn,毕竟是小亮女朋友,"After all, Xiaoliang's girlfriend."
2020-08-04 09:59:25,lengmo,Shutd0wn,这样是不是不好,Is this not good?
2020-08-04 09:59:44,Shutd0wn,lengmo,小亮要去南京会圆圆,Xiao Liang is going to meet Yuan Yuan in Nanjing.
2020-08-04 10:01:07,lengmo,Shutd0wn,好丑,So ugly.
2020-08-04 10:01:25,lengmo,Shutd0wn,还问我们有没有攻防的人,They also asked us if we had people for both offense and defense.
2020-08-04 10:01:46,Shutd0wn,lengmo,我跟她说过了，我们也缺人,"I have talked to her, and we also need more people."
2020-08-04 10:02:02,lengmo,Shutd0wn,是嘛,What is it
2020-08-04 10:02:12,lengmo,Shutd0wn,她在奇安信做啥啊,What is she doing in Qi Anxin?
2020-08-04 10:02:18,lengmo,Shutd0wn,江苏区域负责人啊？,Area Manager of Jiangsu Province?
2020-08-04 10:03:06,Shutd0wn,lengmo,涉密和国产化行业江苏负责人,Industry Responsible Person for National Security and Localization in Jiangsu
2020-08-04 10:03:20,lengmo,Shutd0wn,好复杂,So complicated
2020-08-04 10:09:24,Shutd0wn,lengmo,奇安信太大了,Qihoo 360 is too big
2020-08-04 10:10:05,lengmo,Shutd0wn,太乱,Too messy
2020-08-05 02:11:19,Shutd0wn,lengmo,你那个签字今天来不及吗,Is your signature not available today?
2020-08-05 02:12:20,lengmo,Shutd0wn,主要都在路上，一会退房去火车站了,"Mainly on the road, will check out soon and go to the train station."
2020-08-05 02:12:37,lengmo,Shutd0wn,下午去镇江，然后镇江结束去扬州,"Go to Zhenjiang in the afternoon, and then after Zhenjiang, go to Yangzhou."
2020-08-05 02:13:44,Shutd0wn,lengmo,嗯,Hmm
2020-08-05 02:15:17,lengmo,Shutd0wn,我让李萍和我助理商量了，看中途咋打印寄出去,I talked to Li Ping and my assistant to discuss how to print and send it out midway.
2020-08-05 02:15:50,Shutd0wn,lengmo,那行，尽快吧，我想来得及周五全部弄好发过去,"Okay, hurry up, I want to finish everything by Friday and send it out."
2020-08-05 02:16:00,lengmo,Shutd0wn,嗯,Hmm
2020-08-05 02:16:07,Shutd0wn,lengmo,中途找个打字店，只打印签字页就行了，四份哈,"Find a typing shop halfway through, only need to print the signature page, four copies."
2020-08-05 02:16:15,Shutd0wn,lengmo,然后车站都有EMS的,Then all stations have EMS.
2020-08-05 02:16:16,lengmo,Shutd0wn,嗯,Hmm
2020-08-07 02:38:53,lengmo,Shutd0wn,认识不认识CTF赛棍的，我们现在四川省那个比赛，第一天的题目有点尴尬,"Do you know about CTF competitions? We are currently at a competition in Sichuan Province, and the questions on the first day are a bit awkward."
2020-08-07 04:21:48,Shutd0wn,lengmo,不认识啊，只认识loubo,"I don't know, I only know Loubo."
2020-08-07 04:50:47,lengmo,Shutd0wn,,
2020-08-07 05:06:11,Shutd0wn,lengmo,咋,How
2020-08-07 05:07:47,lengmo,Shutd0wn,就是四川省大学生竞赛的事情，早上开了会，比赛两天，第一天就是传统的CTF 出题，第二天内网，内网出题我们问题不大，第一天传统的，我们出题，专业度不够，里面有些传统赛棍···出题组意思是看公司能不能找点外面的资源出题,"It's about the college student competition in Sichuan Province. We had a meeting in the morning. The competition lasts two days. The first day is the traditional CTF question setting, and the second day is the intranet question setting. We didn't have any problem with the intranet question setting. On the first day, for the traditional question setting, our professionalism was not enough. There were some traditional question set-up errors. The question setting team's idea is to see if the company can find some external resources for the question setting."
2020-08-07 05:08:18,lengmo,Shutd0wn,凑一凑··需要难一点的题目··,Let's see...we need some more challenging questions.
2020-08-07 05:08:31,Shutd0wn,lengmo,嗯，我想想，你也想想,"Hmm, let me think, you also think about it."
2020-08-07 05:08:57,Shutd0wn,lengmo,萝卜是不是认识,Do you know radishes?
2020-08-07 05:09:07,lengmo,Shutd0wn,我想了几个，第一个 盘古，出 安卓 或者逆行类的题 ，还有就是 蓝莲花  或者 长亭科技,"I thought of a few, the first one is Pan Gu, related to Android or reverse engineering questions, and also Blue Lotus or Longting Technology."
2020-08-07 05:09:16,lengmo,Shutd0wn,这些传统的，他们出这类题目有经验,"These traditional ones, they have experience in producing such questions."
2020-08-07 05:09:50,Shutd0wn,lengmo,嗯，盘古这个问题不大，下个月初比赛吧？,"Well, there's no problem with Pangu, how about having the competition at the beginning of next month?"
2020-08-07 05:09:53,lengmo,Shutd0wn,我们怕第一天题目没拦住的话，像川大或者成信工 传统的强队，很快做完了··就有点尴尬,"We are afraid that if the topic of the first day is not stopped, strong traditional teams like Sichuan University or Chengxin University of Technology will quickly finish it, which will be a bit embarrassing."
2020-08-07 05:09:59,lengmo,Shutd0wn,嗯··9月初···,Hmm... early September...
2020-08-07 05:10:13,lengmo,Shutd0wn,"WEB 8道
MISC 4道
Reverse 4道
Pwn 4道
Crypto 4道","WEB 8 paths
MISC 4 paths
Reverse 4 paths
Pwn 4 paths
Crypto 4 paths"
2020-08-07 05:10:34,lengmo,Shutd0wn,web 类的题，准备花点钱，让外面的人出··,"Web-type question, be prepared to spend some money, let the outsiders answer..."
2020-08-07 05:10:39,Shutd0wn,lengmo,嗯,Hmm
2020-08-07 05:10:44,lengmo,Shutd0wn,这是第一天题目设置,This is the setting of the first day's topic.
2020-08-07 05:10:54,Shutd0wn,lengmo,另外也要防范泄题,Also need to guard against leaks.
2020-08-07 05:11:05,lengmo,Shutd0wn,毕竟是四川省大学生的比赛，怕题目简单了，被吐槽,"After all, it is a competition for college students in Sichuan Province. I am afraid that if the questions are too easy, they will be criticized."
2020-08-07 05:11:37,lengmo,Shutd0wn,出题组的意思是找外面出难的题，主要难那些强队，不至于第一天很快就都做完了,"The purpose of the question-setting team is to find challenging questions from external sources, primarily targeting strong teams, so that all questions are not completed too quickly on the first day."
2020-08-07 05:11:46,Shutd0wn,lengmo,提笔侄女可能也参加,The daughter of my cousin may also participate.
2020-08-07 05:11:50,lengmo,Shutd0wn,第二天内网的，我们自己出，这个我们有题,"The next day intranet, we pay for it ourselves, we have a budget for this."
2020-08-07 05:11:57,lengmo,Shutd0wn,她侄女叫啥名字啊,What is her niece's name?
2020-08-07 05:12:01,lengmo,Shutd0wn,我看看在不在名单里,Let me see if it's on the list.
2020-08-07 05:12:27,Shutd0wn,lengmo,忘了,Forgot
2020-08-07 05:12:58,lengmo,Shutd0wn,盘古那种就看 逆向的，或者 PWN 的题,Those are the reverse or PWN type questions like Pangu.
2020-08-07 05:13:09,Shutd0wn,lengmo,陈曦,Chen Xi
2020-08-07 05:13:42,lengmo,Shutd0wn,没有·,Nothing.
2020-08-07 05:14:03,lengmo,Shutd0wn,应该她还轮不到··一个学校最多 3支队，成信工都报了 4支队，都要减掉一支,"She shouldn't have a turn yet. A school can have a maximum of 3 teams, but Chengxin Industrial has registered 4 teams, so one team must be removed."
2020-08-07 05:14:14,lengmo,Shutd0wn,现在他们谁不都想退出··还不知道最后怎么扯,"Now, they all want to quit··but still don't know how it will end."
2020-08-07 05:14:34,lengmo,Shutd0wn,,
2020-08-07 05:15:18,Shutd0wn,lengmo,传媒学院过来做拉拉队的吗,Is the media college coming over to form a cheerleading team?
2020-08-07 05:18:26,lengmo,Shutd0wn,不晓得,I don't know.
2020-08-07 05:18:33,lengmo,Shutd0wn,出题比较急了,The question is quite urgent.
2020-08-07 05:18:39,lengmo,Shutd0wn,黄乐急坏了,Huang Le is very anxious.
2020-08-07 05:19:22,Shutd0wn,lengmo,最晚啥时候出好,When will it be ready at the latest?
2020-08-07 05:19:36,lengmo,Shutd0wn,8月底吧,End of August.
2020-08-07 05:19:46,lengmo,Shutd0wn,我们毕竟还要调试环境,We still need to debug the environment after all.
2020-08-07 05:19:53,lengmo,Shutd0wn,导进去,Imported
2020-08-09 01:15:05,Shutd0wn,lengmo,无糖那个qq漏洞如果我们想用可以吗,Is it okay for us to use the sugar-free QQ vulnerability?
2020-08-09 01:15:17,Shutd0wn,lengmo,现在估计不会给用了吧,I estimate they won't let you use it now.
2020-08-09 01:15:32,lengmo,Shutd0wn,一般不给，除非是我们特别好的客户,"Generally not given, unless they are our very good customers."
2020-08-09 01:16:03,Shutd0wn,lengmo,这个洞外面有流传吗,Is there a legend outside the hole?
2020-08-09 01:16:43,lengmo,Shutd0wn,上海安垚好像也有,Shanghai Aya seems to have it.
2020-08-09 01:16:56,lengmo,Shutd0wn,其他的没听说,I haven't heard of anything else.
2020-08-09 01:17:40,lengmo,Shutd0wn,要用的话，无糖收我们10W一个，不成功不收费,"If you want to use it, the sugar-free ones will cost us 10,000 yuan each. No charge if unsuccessful."
2020-08-09 01:23:50,Shutd0wn,lengmo,无声是不是也有,"Silence, can it also have meaning?"
